,country,points,count
0,Argentina,86.7,3800
1,Armenia,87.5,2
2,Australia,88.6,2329
3,Austria,90.1,3345
4,Bosnia and Herzegovina,86.5,2
5,Brazil,84.7,52
6,Bulgaria,87.9,141
7,Canada,89.4,257
8,Chile,86.5,4472
9,China,89.0,1
10,Croatia,87.2,73
11,Cyprus,87.2,11
12,Czech Republic,87.2,12
13,Egypt,84.0,1
14,England,91.6,74
15,France,88.8,22093
16,Georgia,87.7,86
17,Germany,89.9,2165
18,Greece,87.3,466
19,Hungary,89.2,146
20,India,90.2,9
21,Israel,88.5,505
22,Italy,88.6,19540
23,Lebanon,87.7,35
24,Luxembourg,88.7,6
25,Macedonia,86.8,12
26,Mexico,85.3,70
27,Moldova,87.2,59
28,Morocco,88.6,28
29,New Zealand,88.3,1419
30,Peru,83.6,16
31,Portugal,88.3,5691
32,Romania,86.4,120
33,Serbia,87.5,12
34,Slovakia,87.0,1
35,Slovenia,88.1,87
36,South Africa,88.1,1401
37,Spain,87.3,6645
38,Switzerland,88.6,7
39,Turkey,88.1,90
40,US,88.6,54504
41,Ukraine,84.1,14
42,Uruguay,86.8,109
